2023-04-21T05:19:14.343Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T05:19:51.638Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T05:20:35.347Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T05:26:45.590Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T05:27:03.906Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T05:38:25.449Z, error, PUT /lender/editItems/422, Product not found
2023-04-21T05:39:38.998Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T05:39:45.162Z, info, PUT /lender/editItems/2, Item edited successfully
2023-04-21T07:00:39.539Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:01:09.564Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:05:02.328Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:07:19.679Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:08:48.845Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:10:18.298Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:10:38.700Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:13:52.170Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:14:20.879Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:20:36.027Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:21:19.900Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T07:22:27.956Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:02:28.411Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:08:38.513Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:09:00.714Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:09:13.539Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:09:52.372Z, info, GET /lender/searchItemManagement, Data fetched successfully
2023-04-21T08:10:05.553Z, info, GET /lender/searchItemManagement, Data fetched successfully
